Domain:Business Capability,Short Name,Business Relevance,Parent Business Capability
10.1.2.1 Business Enablement & Strategy,,Unknown,10.1.2 Enterprise Architecture
10.1.2.1.1 Strategy and Planning​,,Unknown,10.1.2.1 Business Enablement & Strategy
10.1.2.1.2 Innovation Management​,,Unknown,10.1.2.1 Business Enablement & Strategy
10.1.2.1.3 Value Management​,,Unknown,10.1.2.1 Business Enablement & Strategy
10.1.2.1.4 Business Architecture & Modelling​,,Unknown,10.1.2.1 Business Enablement & Strategy
10.1.2.1.5 Opportunity Identification​,,Unknown,10.1.2.1 Business Enablement & Strategy
10.1.2.1.6 Business Optimisation,,Unknown,10.1.2.1 Business Enablement & Strategy
10.1.2.2 EA Management,,Unknown,10.1.2 Enterprise Architecture
10.1.2.2.1 Standards Management​,,Unknown,10.1.2.2 EA Management
10.1.2.2.2 Engagement Management​,,Unknown,10.1.2.2 EA Management
10.1.2.2.3 Vendor Strategy​,,Unknown,10.1.2.2 EA Management
10.1.2.2.4 Solution Management,,Unknown,10.1.2.2 EA Management
10.1.2.3 Architecture Execution,,Unknown,10.1.2 Enterprise Architecture
10.1.2.3.1 Trade-Off Analysis​,,Unknown,10.1.2.3 Architecture Execution
10.1.2.3.2 Fit Assessments​,,Unknown,10.1.2.3 Architecture Execution
10.1.2.3.3 Architecture Services​,,Unknown,10.1.2.3 Architecture Execution
10.1.2.3.4 Workshops and Engineering,,Unknown,10.1.2.3 Architecture Execution
10.1.2.4 Technology Lifecycle,,Unknown,10.1.2 Enterprise Architecture
10.1.2.4.1 Architecture Change Management​,,Unknown,10.1.2.4 Technology Lifecycle
10.1.2.4.2 Enterprise Data Management​,,Unknown,10.1.2.4 Technology Lifecycle
10.1.2.4.3 Application Portfolio Management​,,Unknown,10.1.2.4 Technology Lifecycle
10.1.2.4.4 Architecture Planning​,,Unknown,10.1.2.4 Technology Lifecycle
10.1.2.4.5 Technology Innovation (EA),,Unknown,10.1.2.4 Technology Lifecycle
10.1.2.5 Competency Management,,Unknown,10.1.2 Enterprise Architecture
10.1.2.5.1 Market Trend Analysis​,,Unknown,10.1.2.5 Competency Management
10.1.2.5.2 Competency Management & Advancement​,,Unknown,10.1.2.5 Competency Management
10.1.2.5.3 Collaboration,,Unknown,10.1.2.5 Competency Management
10.1.2.6 Enterprise Architecture Governance,,Unknown,10.1.2 Enterprise Architecture
10.1.2.6.1 Architecture Review Board​,,Unknown,10.1.2.6 Enterprise Architecture Governance
10.1.2.6.2 Architecture Guidance Team​,,Unknown,10.1.2.6 Enterprise Architecture Governance
10.1.2.6.3 Executive Steering​,,Unknown,10.1.2.6 Enterprise Architecture Governance
10.1.2.6.4 Architecture Risk Management,,Unknown,10.1.2.6 Enterprise Architecture Governance
9.3.9.1 Cash Position Management,,Business Operating,9.3.9 Cash & Treasury Management
9.3.9.2 Liquidity Management,,,9.3.9 Cash & Treasury Management
9.3.9.1.1 Daily Cash Positioning,,Mission Critical,9.3.9.1 Cash Position Management
9.3.9.1.2 Cash Flow Forecasting,,,9.3.9.1 Cash Position Management
9.3.9.1.3 1.3 Intercompany Cash Flows,,,9.3.9.1 Cash Position Management
9.3.9.3 Treasury Operations & Banking Relations,,,9.3.9 Cash & Treasury Management
9.3.9.1.4 1.4 Zero-Balance Account Setup,,,9.3.9.1 Cash Position Management
9.3.9.1.5 1.5 Cash Pooling Management,,,9.3.9.1 Cash Position Management
9.3.9.2.1 2.1 Short-Term Investments,,,9.3.9.2  Liquidity Management
9.3.9.2.2 Working Capital Planning,,,9.3.9.2  Liquidity Management
9.3.9.2.3 Liquidity Stress Testing,,,9.3.9.2  Liquidity Management
9.3.9.2.4 Liquidity Reserves Management,,,9.3.9.2  Liquidity Management
9.3.9.2.5 Loan and Credit Facility Mgmt,,,9.3.9.2  Liquidity Management
9.3.9.3.1 Bank Account Management,,,9.3.9.3  Treasury Operations & Banking Relations
9.3.9.3.2 Bank Connectivity,,,9.3.9.3  Treasury Operations & Banking Relations
9.3.9.3.3 Payment Execution,,,9.3.9.3  Treasury Operations & Banking Relations
9.3.9.3.4 Fee Monitoring,,,9.3.9.3  Treasury Operations & Banking Relations
9.3.9.3.5 Treasury Outsourcing Mgmt,,,9.3.9.3  Treasury Operations & Banking Relations
"9.3.9.4 Treasury Controls, Risk & Compliance Mgmt",,,9.3.9 Cash & Treasury Management
9.3.9.4.1 FX (Foreign Exchange)  Risk Management,,,"9.3.9.4 Treasury Controls, Risk & Compliance Mgmt"
9.3.9.4.2 IR (Interest Rate) Risk Mgmt,,,"9.3.9.4 Treasury Controls, Risk & Compliance Mgmt"
9.3.9.4.3 Treasury Policy Governance (Planned ),,,"9.3.9.4 Treasury Controls, Risk & Compliance Mgmt"
9.3.9.5 Treasury Reporting & Reconciliation,,,9.3.9 Cash & Treasury Management
9.3.9.5.1 Cash Reconciliation,,,9.3.9.5 Treasury Reporting & Reconciliation
9.3.9.5.2 Treasury Audit Trail Mgmt,,,9.3.9.5 Treasury Reporting & Reconciliation
9.3.9.5.3 Performance Metrics & KPIs (Planned),,,9.3.9.5 Treasury Reporting & Reconciliation
9.11.1.1 Internal Analysis,,Business Evolving,9.11.1 Strategic planning
9.11.1.2 Environmental Scanning,,Business Evolving,9.11.1 Strategic planning
9.11.1.3 Strategy Development,,Business Evolving,9.11.1 Strategic planning
9.11.1.4 Strategy Matching,,Business Evolving,9.11.1 Strategic planning
9.11.1.5 Plan Definition,,Business Evolving,9.11.1 Strategic planning
9.11.1.6 Plan Development,,Business Evolving,9.11.1 Strategic planning
9.11.1.7 Plan Matching,,Business Evolving,9.11.1 Strategic planning
9.11.1.8 Objective Management,,Business Evolving,9.11.1 Strategic planning
9.11.1.9 Strategic Alignment Across Organization,,Business Evolving,9.11.1 Strategic planning
9.11.1.10 Resource Allocation,,Business Evolving,9.11.1 Strategic planning
9.11.1.11 Financial Planning,,Business Evolving,9.11.1 Strategic planning
9.11.1.12 Strategic Plan Communication & Dissemination,,Business Evolving,9.11.1 Strategic planning
9.11.1.13 Scenario Planning,,Business Evolving,9.11.1 Strategic planning
9.11.4.1 Value Proposition Design,,Business Evolving,9.11.4 Business Model Management
9.11.4.2 Maintain business Model,,Business Evolving,9.11.4 Business Model Management
9.11.4.3 Business model governance,,Business Evolving,9.11.4 Business Model Management
9.11.4.4 Revenue Model Design,,Business Evolving,9.11.4 Business Model Management
9.11.4.5 Channel Strategy,,Business Evolving,9.11.4 Business Model Management
9.11.4.6 Customer Segmentation,,Business Evolving,9.11.4 Business Model Management
9.11.6.1 Portfolio Definition,,Business Evolving,9.11.6 Portfolio and Project Management
9.11.6.2 Project Definition,,Business Evolving,9.11.6 Portfolio and Project Management
9.11.6.3 Project Prioritization,,Business Evolving,9.11.6 Portfolio and Project Management
9.11.6.4 Action Item Management,,Business Evolving,9.11.6 Portfolio and Project Management
9.11.5.1 Determine business value,,Mission Critical,9.11.5 Strategy Value Creation
9.11.5.2 Identify business value drivers,,Mission Critical,9.11.5 Strategy Value Creation
9.11.5.3 Innovation Management,,Mission Critical,9.11.5 Strategy Value Creation
9.11.7.2 Initiative Definition,,Business Evolving,9.11.7 Strategic Initiative Management
9.11.7.3 Initiative Alignment,,Business Evolving,9.11.7 Strategic Initiative Management
9.11.7.4 Initiative Scope Management,,Business Evolving,9.11.7 Strategic Initiative Management
9.11.7.5 strategic initiatives Prioritizing,,Business Evolving,9.11.7 Strategic Initiative Management
9.11.7.6 Initiative Risk Management,,Business Evolving,9.11.7 Strategic Initiative Management
9.11.7.7 Initiative Evaluation & measurement (Benefit Management),,Business Evolving,9.11.7 Strategic Initiative Management
9.11.8.1 Organization Structure Management,,Business Evolving,9.11.8 Strategy Execution
9.11.8.2 Strategy Risk   Management,,Business Evolving,9.11.8 Strategy Execution
9.11.8.3 Initiative Performance Management,,Business Evolving,9.11.8 Strategy Execution
9.11.8.4 Progress Monitoring,,Business Evolving,9.11.8 Strategy Execution
9.11.8.5 Strategy Execution Control,,Business Evolving,9.11.8 Strategy Execution
9.11.9.1 Change Planning,,Business Evolving,9.11.9 Business Change Management
